"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"SPARC",12.66246,12.0266,4937.83783,48.09719,28.22468,2505.63584,11.71668,273.69507,14.58503,408.74165
"HAVCR2",15.645891,180.306287,11.196559,191.497921,259.089919,6.351856,32.743706,6.574843,26.102339,3.499837
"DUSP1",910.4496,1846.96,654.0091,2279.7299,2527.8115,581.2443,583.1619,202.3957,864.4383,158.6119
"LTC4S",53.634559,138.232031,16.407237,150.729155,277.266768,7.865316,8.357764,5.819448,13.903735,4.917392
"SERPINB1",70.94062,428.48388,92.33156,300.03098,271.38086,60.19117,81.36102,111.05499,144.03586,20.97897
"TUBB2A",14.27202,18.54854,30.93379,30.415,26.51527,167.66199,19.25195,73.90997,22.55096,288.96449
"TUBB2B",25.31172,11.6034,39.09982,26.92712,16.02004,324.31541,15.4805,387.18241,36.27776,1285.40137
"LY86",51.847598,217.037688,8.271063,194.890231,301.049508,9.995431,4.874089,5.940578,4.587309,3.685508
"NEDD9",62.002461,36.308268,258.884729,43.861131,55.877557,57.610135,40.36977,5.501906,55.306896,41.229753
"CD83",204.0782,552.50598,28.36351,370.8906,570.89117,27.61792,30.71384,11.92596,36.70216,14.82415
"SOX4",51.731,83.37392,407.1348,59.20011,49.13298,296.92581,20.69516,144.40665,37.37668,700.3421
"MOG",0.308123,0.7398907,0.6940181,0.7850217,0.5158094,2.2073741,0.3099006,503.6603919,0.323667,3.5086801
"HLA-F",75.2142,105.16447,43.63308,64.65378,74.03094,28.01363,199.87645,56.45387,146.02242,19.75889
"HLA-E",616.5717,795.0894,1231.2031,851.1383,1145.4682,269.3764,882.8146,267.774,829.993,113.9739
"IER3",140.40409,436.5198,99.07147,827.09389,1062.08723,239.56085,48.08132,27.4458,46.13764,24.91159
"LTB",291.498991,354.778373,24.356361,23.035284,14.22196,5.492645,177.631463,3.342201,1147.388792,3.978189
"LST1",34.13926,553.49013,18.69517,355.29897,423.44664,14.24286,17.82899,11.71392,35.18793,15.8535
"AIF1",95.82005,1205.83507,53.29905,1289.93375,1604.20875,37.54208,47.8955,37.63075,36.28032,24.50456
"CLIC1",279.68495,684.14189,492.64549,671.78046,598.03218,568.81,415.47826,65.18573,402.79827,226.16637
"HSPA1B",1198.0154,873.7,214.9373,979.8022,1002.6895,212.1135,444.6332,157.7576,523.9533,220.0642
"GPSM3",103.87172,229.028571,28.497011,187.748962,202.692961,30.131244,134.288992,6.698038,154.854832,6.493923
"NOTCH4",5.662959,10.491802,347.74171,4.344136,6.989178,7.426855,1.150985,13.179175,1.384811,10.119494
"HLA-DRA",1462.90597,13845.99347,199.05703,4689.392,5410.98637,127.97919,267.70708,111.33461,184.74926,84.61123
"HLA-DRB1",957.55455,9296.26485,170.28287,2719.82583,2857.24023,69.51943,379.90059,62.01955,235.27442,42.23363
"HLA-DQA1",310.525764,3139.906737,22.515882,476.417891,460.795927,7.844613,57.37332,7.945877,44.403517,5.203401
"HLA-DQB1",266.785043,2168.235732,33.361919,628.061067,719.083387,15.927052,75.393086,13.237205,52.181122,8.012551
"PSMB9",145.80806,283.42187,53.78214,116.07343,108.48663,94.78984,272.64942,119.73792,204.43313,66.02259
"HLA-DMB",88.430322,419.366319,12.902878,293.963302,422.225048,9.622986,24.342854,7.564434,11.060144,4.792233
"HLA-DMA",150.38536,863.8404,24.72374,512.09043,658.8029,17.14868,54.45067,14.86167,34.52717,10.47252
"HLA-DPA1",551.47745,7520.69795,96.62811,2059.78025,2546.83806,57.52161,212.34126,49.43557,118.54432,39.17851
"HLA-DPB1",495.07611,7283.81149,69.58667,1814.92111,2063.88931,74.15512,247.22384,43.97844,114.3574,34.3059
"FKBP5",166.40657,542.56203,230.33564,472.88935,487.40079,197.65637,240.51835,176.84226,307.92529,96.02406
"TREM2",34.229281,232.848648,18.983361,540.124569,938.065392,18.568254,13.482216,16.326058,9.612866,9.244172
"ADGRF5",0,0,512.61654658,0.494879,0.40044964,30.93395856,0.29352263,0.07176962,0.16981286,0.18915885
"DST",21.12025,111.85119,126.47816,137.74935,175.76057,238.79447,8.82282,1184.58428,12.20722,331.21965
