"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"CCL3L1","  45.987535"," 209.476011","  71.469664"," 283.032938","1737.777933","  90.098970","  54.154630","  92.635165","  22.357248","   8.867733"
"CCL4L2","  55.17334"," 197.45733","  93.72864"," 394.69264","1725.30598"," 126.85449"," 258.42185","  86.53293","  25.63333","  13.81987"
"IGFBP4","  1.818212","  2.020212","134.967705"," 15.393567","  2.446326","297.836577","  3.975337","  2.843490","  4.551029","  5.544904"
"CNP","  17.72000","  18.58754","  42.38588","  20.02326","  20.93720","  46.55102","  14.37630","1609.84277","  13.24631","  97.02557"
"RAMP2","  2.6800574","  0.5535544","768.5559310","  0.6340180","  0.9329163"," 48.2198674","  0.2293830"," 10.7003388","  1.7678391"," 60.3742457"
"GRN"," 136.63181"," 704.85974"," 438.61469","1874.35779"," 658.08332"," 191.19273","  48.61595"," 121.10589","  50.18947"," 124.06177"
"GFAP"," 49.82387"," 31.37238","244.31001"," 41.41598"," 37.76574","302.29183"," 33.51630","473.91185"," 20.79235","838.87928"
"COL1A1","   4.997151","   3.809176","  53.959753","   2.497350","   1.983394","8040.399313","   2.915439","   9.235444","   5.017788","   3.913903"
"TOB1"," 14.60908"," 26.71948"," 19.00047"," 12.48556"," 20.70469"," 16.70543","107.12493"," 48.10798","181.58195"," 18.21063"
"NME1"," 50.11096"," 60.21695"," 92.28232"," 60.40745"," 57.25733","169.43292"," 36.96127","117.61904"," 36.02203","560.40359"
"PECAM1","  64.3159940","  82.7105477","1322.5807793"," 152.3171168","  76.2416716","   6.8669198","  45.5794441","   5.1907460","   5.6290335","   0.9474741"
"MYL12A"," 326.53675"," 741.26352","1000.63552"," 492.01653"," 382.21182"," 559.79686","1167.24001"," 156.48076","1046.29769"," 157.20055"
"SEC11C","235.23206"," 53.68187"," 65.09444"," 54.88209"," 60.76817"," 49.50431","100.49197","293.11540"," 95.32827","205.78794"
"CNDP1","  0.2599331","  0.1529722","  0.7089583","  0.4240365","  0.2442367","  0.7684551","  0.5779317","562.4291167","  0.0000000","  0.7901159"
"MBP","  82.43232"," 212.30149","  79.99640"," 166.73425"," 244.55387"," 101.07578"," 365.22487","5907.03084"," 207.91171","  56.72006"
"GZMM"," 14.412668","  9.458382","  4.485564","  1.733423","  1.912665","  2.278566","466.705626","  6.186986","120.241941","  1.153321"
"CFD"," 17.160658"," 60.968463","  7.769047","421.751735","168.289143","  6.854752"," 11.512099","  8.249805","  9.306892","  3.090172"
"TUBB4A","5.108619e-01","1.105663e+00","4.243520e+00","1.960254e-01","2.674938e+00","9.276217e+00","6.220399e-01","1.060114e+03","4.335784e-02","1.312738e+01"
"C3","  83.93332"," 778.10150"," 122.10204","1161.21673","2245.30262"," 111.72941","  40.81218","  79.33555","  24.08058","  34.10981"
"INSR","  12.671718","  39.541511","1088.024693","  21.841558","  16.612388","  31.452886","   1.517715"," 168.654355","   2.117107","  22.270821"
"JUNB"," 392.4401"," 515.9709"," 372.5019"," 343.7613"," 657.8685"," 225.8587","1008.1922"," 273.2011"," 983.1908"," 229.9745"
"PRDX2","  98.56453","  90.97231"," 239.08138","  84.58117"," 116.16325"," 276.40700"," 166.40494"," 316.12379"," 224.75059","1311.74494"
"KLF2","262.427111"," 95.470783","456.834000","123.381713","449.752743"," 31.303270","341.128148"," 31.308952","574.235256"," 13.628076"
"IFI30"," 52.172935","296.364592"," 24.506708","633.465137","444.540581"," 27.752376"," 14.992384"," 18.836391"," 16.285721","  2.847167"
"FXYD5","107.45136","243.74605","228.43239","267.90507","152.11513"," 83.33353","249.59230"," 18.35247","407.18585"," 25.05524"
"MAG","   0.7914384","   0.2629171","   2.3959531","   0.4744771","   0.6634785","   4.9145527","   1.5581336","1599.8781050","   0.6607004","   1.7980546"
"APLP1","  1.3042974","  0.4223824","  6.3999025","  1.4489409","  2.4050329"," 12.3217531","  0.4826252","954.7443818","  1.7284065"," 29.7009318"
"HCST"," 147.600740"," 392.153408","  53.315840"," 394.038594"," 619.709659","  31.673539","1786.895834","  38.976329"," 750.732327","   8.306451"
"TYROBP"," 217.41459","2371.93937"," 129.07088","4983.72022","3531.45944"," 187.94637"," 180.67439"," 158.55892"," 137.76322","  39.74405"
"SPINT2"," 47.635855","266.656751"," 25.888052","144.773924","119.384476","  7.226372","  8.756646"," 19.129081"," 39.723780","  1.239830"
"PPP1R14A","  23.125572"," 104.191911","  82.605559","   3.332796","   5.290174"," 135.003281","   1.663743","3247.029807","   3.834576","  24.903576"
"FCGBP","  43.33605"," 280.10053","  87.97998"," 912.82030","1270.41017","  59.15024","  28.75110","  56.44748","  27.11279","  14.64792"
"CD79A","410.83875812"," 24.36145421","  0.49718877","  0.34193301","  0.42575419","  0.43349798","  1.25580770","  1.09510177","  1.60434076","  0.08859917"
"ZNF428"," 34.84083"," 51.15055","131.73188"," 57.56765"," 47.36407","132.42954"," 91.00428","235.18325"," 58.93129","606.72162"
"APOC1","  581.5348"," 1304.9781","  247.7295","21900.0751"," 8960.8275","  431.1276","  307.6066","  512.3246","  258.6348","  159.6087"
"APOC2","  29.089781"," 191.759758","  50.970691"," 494.929001","2112.577433","  59.845358","  16.707224","  48.910395","  15.433006","   5.812051"
"FCGRT","  46.45708"," 360.10592"," 372.18182","1008.12587"," 696.88750"," 102.44498","  34.52312","  36.34929","  30.67148","  76.84079"
"PRMT1"," 67.42755"," 87.76416","172.44329"," 57.16988"," 61.45427","115.36697"," 81.00194","114.78660"," 81.13913","443.24545"
"KLK6","  0.2466426","  0.0000000","  0.1555449","  0.3440204","  0.8635143","  1.8670440","  0.0000000","480.6438356","  0.1618489","  1.1177577"
"NKG7","  58.335368","  59.377478","  18.480191","  14.497237","  14.259459","   5.618794","2235.432210","  37.043684","  49.120990","   6.239681"
"TTYH1","  8.096121","  2.680013"," 16.447879","  3.507166","  2.808037"," 63.540499","  4.170885","280.885573","  6.339685","614.283487"
"LILRB4"," 11.385762"," 48.262422","  6.918095","102.519376","161.261886","  5.472243","  2.890729","  6.614513","  2.157297","  1.810207"
"CD93"," 1.46089245","12.95588967","80.77193155","14.92878290"," 6.42990659"," 1.28014243"," 0.81082809"," 0.55475280"," 0.91688443"," 0.09016907"
"CST7"," 20.9959380","147.1432936","  5.1019455","  3.3415563","  4.1426835","  1.9851240","635.8849019","  8.7674138"," 45.5012683","  1.8770795"
