"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"GADD45GIP1","147.39491","140.16153","193.84250","172.85772","165.36304","257.44847"," 84.35186","162.48430"," 87.61206","614.99317"
"DNAJB1","1028.5346"," 699.4608"," 277.2767"," 593.6708","1300.9701"," 309.7577"," 629.3874"," 285.8001"," 410.0968"," 288.3500"
"TPM4","156.05251","294.73817","704.02306","250.50414","222.52234","938.79284"," 69.43521","116.85933"," 97.87492","260.12367"
"KLF2","444.07243","178.66416","603.70857","250.49794","924.72093"," 44.54208","376.96391"," 30.60966","756.57357"," 19.30301"
"IFI30"," 111.522580"," 493.158657","  24.345499","1049.594094"," 842.316557","  41.615457","  16.814071","  18.286129","  22.254814","   3.791306"
"JUND","1122.1922"," 871.7258"," 807.7536"," 566.1361"," 915.9722"," 351.8460","1102.3294"," 491.5027","1047.3659"," 890.0825"
"PDCD5"," 79.89557"," 90.82506","124.64123","105.54136","115.73680","300.88205"," 66.10743","109.13931"," 73.51711","429.77457"
"FXYD5","130.19609","299.76649","235.93378","368.02466","211.82724","129.64326","180.24274"," 11.26071","364.48279"," 25.79117"
"HAMP"," 18.529579"," 36.269988","  8.684274","107.857329","495.859443"," 11.728797","  4.099540","  5.659312","  3.009483","  3.019289"
"MAG","  0.5261554","  0.2174747","  1.0080256","  0.4839132","  0.6773335","  2.0900195","  0.5151813","706.6407540","  0.3268043","  1.2437081"
"APLP1","  2.7101336","  0.8470477","  4.4284945","  2.2626657","  4.0675239"," 16.3571211","  0.5297652","800.7230113","  1.7364282"," 42.4144601"
"HCST","132.667119","287.882422"," 28.461196","297.952461","527.110158"," 22.587706","739.422498"," 14.131764","389.047402","  4.306074"
"TYROBP"," 185.39834","1750.70779","  66.90284","4163.80649","3030.33043"," 120.79132","  90.55759","  69.37228","  87.44403","  23.64193"
"SPINT2"," 37.4180434","238.3178570"," 14.1633667","134.6741702","109.6373552","  7.3583331","  5.1406925","  7.3401831"," 24.2118380","  0.9144737"
"PPP1R14A","  14.396776"," 107.218436","  64.892595","   2.567977","   4.459149","  85.801258","   1.918920","1532.046193","   2.191740","  17.797769"
"PSMD8","173.3660","165.8737","170.2223","195.4536","173.7210","253.3728","113.0709","166.4702","108.0653","612.3336"
