"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"CCL3L1",0.3327306,1.4976614,0.5678049,4.5887395,15.9836135,0.6237182,0.5752867,0.3432556,0.2450401,0.1668474
"CCL4L2",0.3417722,1.1973807,0.5131707,3.7402461,14.6210404,0.6290682,2.4267495,0.2987396,0.3325243,0.1537008
"IGFBP4",0.01898734,0.03554724,1.85658537,0.15187674,0.07858187,4.10209541,0.04029579,0.05282918,0.05972984,0.10081838
"CNP",0.1211573,0.1300281,0.2419512,0.1845418,0.1626767,0.2661614,0.1024542,10.4971842,0.1329675,0.766006
"CAVIN1",0.006329114,0.01777362,2.405853659,0.077433502,0.041057505,1.410610789,0.015539599,0.766425315,0.023216547,0.33867416
"RAMP2",0.009041591,0.002806361,3.405853659,0.009084696,0.008040936,0.223807401,0.005572822,0.045320461,0.010764035,0.263951883
"GRN",0.7052441,3.3386342,1.9902439,4.6965883,3.6841801,0.8640214,0.4833351,0.6524537,0.3801182,0.5690364
"GFAP",0.2133816,0.2376052,0.9492683,0.2193712,0.1989827,1.5586268,0.1859393,1.0466613,0.1994512,6.1209656
"COL1A1",0.0198915,0.02338634,0.28390244,0.02958934,0.02116837,28.86535889,0.01950488,0.13891124,0.02026171,0.13264971
"NME1",0.4222423,0.4808232,0.777561,0.6086746,0.4870858,1.3446277,0.4351088,0.8862966,0.4605319,2.494199
"NME2",1.1943942,2.6791394,2.7034146,3.0342883,3.1644128,5.2822113,0.9346265,1.3043711,0.849198,3.3610235
"MSI2",0.3996383,0.2170253,1.0439024,0.1682235,0.186434,0.5367811,0.4043511,0.7189595,0.4655973,1.4060179
"VMP1",0.5542495,1.4153414,2.1278049,1.7745344,1.5337476,2.9335711,1.2300932,1.2089032,1.5794639,1.8468415
"PECAM1",0.34990958,0.42188962,5.96487805,0.53739249,0.43402778,0.0468123,0.21230308,0.01743095,0.03957366,0.01104319
"SEC14L1",0.6166365,0.7165575,3.9639024,0.6953637,0.9064632,0.4413732,0.2562426,0.6819523,0.4234909,0.7701965
"SYNGR2",0.46564195,1.44153414,0.42439024,1.08822692,1.19142909,0.08470798,0.23609474,1.08849558,0.30434783,0.07674357
"RNF213",1.0388788,1.0037418,0.9717073,1.3548157,1.3373233,0.6063308,3.0635516,1.0488067,2.6483748,0.4204628
"AATK",0.012658228,0.024321796,0.094634146,0.098308367,0.093658626,0.045028979,0.009966777,2.02198981,0.008336851,0.084779465
"P4HB",0.965642,1.0355472,2.0146341,1.7620038,1.1527473,3.2576906,0.989283,0.9254492,0.9569439,1.5727996
"SLC16A3",0.1392405,1.0458372,0.3102439,1.7387652,1.5083455,0.3486402,0.1833673,0.0721373,0.2316378,0.1255998
"RAB40B",0.04249548,0.04583723,0.04585366,0.03952839,0.05168738,0.0637539,0.02550638,2.92598552,0.0205783,0.09375205
"YES1",0.04701627,0.01777362,1.69268293,0.02144444,0.01288377,0.22960321,0.09688136,0.37570394,0.05508653,0.40749688
"MYL12A",1.977396,4.2394761,5.0887805,2.6807541,2.2817678,3.8604547,5.9453435,0.87262,5.7524272,0.8662164
"MYL12B",1.246835,2.952292,6.279024,2.174688,2.051931,2.969683,4.374558,1.639582,3.718869,2.187948
"ANKRD12",1.4737794,1.2291862,1.4556098,1.0748419,0.8510904,0.6023183,2.1280677,2.2995441,2.7107429,0.9634359
"OSBPL1A",0.0198915,0.15622077,0.24390244,0.23452184,0.26574683,0.25055729,0.0166113,2.87744704,0.02511608,0.43421745
"CDH2",0.02079566,0.03367633,1.56390244,0.04029732,0.01495492,0.54837272,0.02464902,0.61222848,0.05065428,2.03163413
"RPL17",8.459313,10.78391,7.322927,11.216267,12.258224,14.482835,8.028829,4.313489,9.186577,9.233501
"TCF4",1.2486438,0.7661366,7.0341463,0.7751894,0.9206567,2.1368703,0.4445397,2.4794851,0.3430772,3.7814862
"SEC11C",2.2097649,0.3826006,0.4858537,0.4062482,0.3624513,0.4837272,0.6720609,2.2534191,0.7832419,1.4310458
"LMAN1",1.1311031,0.4415341,1.1473171,0.655522,0.6405641,1.4930896,0.5023041,0.7221775,0.6037358,1.0347236
"CDH19",0.015370705,0.003741815,0.008780488,0.006692487,0.001644737,0.021399911,0.006751688,2.107535532,0.019628535,0.105123907
"DSEL",0.02893309,0.01028999,0.16780488,0.03465854,0.02719907,0.33214445,0.03611617,1.1128989,0.06711693,1.92420956
"CNDP1",0.002712477,0.002806361,0.009756098,0.014096941,0.005604288,0.010699955,0.004501125,7.055510861,0.003271423,0.024354171
"MBP",0.4023508,1.0130964,0.2517073,0.7811699,1.0154423,0.322782,1.3396206,23.2982033,0.8642887,0.6259449
"GZMM",0.17631103,0.08512629,0.03317073,0.02936151,0.01742203,0.02139991,2.18293859,0.01367659,0.88307303,0.01145402
"HCN2",0.014466546,0,0.007804878,0.008657516,0.004020468,0.029870709,0.016825635,2.704746581,0.025010553,0.047442976
"TUBB4A",0.007233273,0.004677268,0.012682927,0.007831634,0.007888645,0.028533214,0.010395456,4.429605792,0.006437315,0.191891803
"C3",0.4620253,3.98971,0.5882927,4.7298513,9.0282042,0.5078021,0.3555889,0.380531,0.2613972,0.3013705
"INSR",0.07323689,0.20954163,5.1395122,0.13541607,0.10575049,0.17476594,0.01328904,0.80504157,0.0148797,0.19014987
"ELAVL3",0.028028933,0.006548176,0.017560976,0.012929316,0.006487573,0.069995542,0.014253563,2.797532851,0.031447868,0.643840794
"JUNB",6.220615,7.923293,5.097561,6.852139,8.444719,4.404815,11.729182,3.457495,15.017623,3.48005
"PRDX2",0.7377939,0.5528531,1.3414634,0.5681495,0.6416606,1.8461881,1.2510985,1.7028694,1.5809413,4.7249392
"NFIX",0.05424955,0.02806361,0.11512195,0.05692886,0.03326023,0.43513152,0.03450863,1.95038884,0.04907134,1.42069283
"DNAJB1",4.485533,3.944808,2.014634,5.037791,5.042489,1.597414,5.598542,2.396889,6.311207,1.943124
"TPM4",0.783906,1.606174,4.555122,1.8722447,1.2015716,5.4404815,0.9202658,1.2475194,1.2388138,1.2903602
"IFI30",0.4719711,2.8241347,0.3034146,4.772427,3.8061038,0.2719572,0.1701854,0.1743095,0.1689531,0.1185171
"JUND",7.089512,4.724041,5.566829,3.955801,4.10968,2.600535,9.204801,4.49048,9.678029,4.539095
