"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"APLP1",0.008253794,0.002593628,0.017278466,0.014443124,0.015233015,0.104992971,0.006576463,1.90359106,0.011753701,0.263676026
"TYROBP",0.4517253,2.046922,0.4113689,2.671803,2.7833578,0.3609595,0.7351568,0.340602,0.3991544,0.1911835
"PPP1R14A",0.055955993,0.257269869,0.172738577,0.022066746,0.01335464,0.594434768,0.008147847,2.411504764,0.007721988,0.076588313
"CD79A",0.9837013665,0.0449059342,0.0040574469,0.0028589647,0.0032119521,0.0022156992,0.0071712401,0.0009609866,0.0121909246,0.0017918592
"APOC1",0.5750968,1.1052998,0.5041848,2.6655283,3.2222759,0.6028473,0.8020428,0.7536009,0.5677191,0.3730285
"APOC2",0.07395946,0.31771628,0.13825371,0.76692503,1.58499688,0.17030595,0.06795604,0.07688169,0.0496352,0.05712752
"NKG7",0.185219314,0.135847215,0.040116323,0.078124972,0.046095477,0.015985507,1.845928835,0.01588013,0.247328228,0.009042309
"CST7",0.12872482,0.448539961,0.025239725,0.052492747,0.032187954,0.010960914,1.302386978,0.009241195,0.396769641,0.005553341
"MYL9",0.013835879,0.023980497,0.256939412,0.017330932,0.019477279,1.210947445,0.00678244,0.029815266,0.007578546,0.061831731
"MAFB",0.13166405,0.56097653,0.21559093,1.35096048,1.34965188,0.20347272,0.12263016,0.13770395,0.09677228,0.10406609
"COL6A1",0.01400073,0.0111331,0.16114105,0.02398449,0.0139197,1.42089923,0.01319251,0.08557246,0.0208012,0.45379025
"COL6A2",0.010240435,0.009726106,0.404618421,0.01509645,0.006960145,1.348294637,0.028731901,0.038490194,0.026862636,0.152214692
"S100B",0.1898744,0.9161713,0.3119138,0.2290637,0.2789455,0.4853694,0.4100729,2.4455793,0.2723317,1.905337
"CLDN5",0.006498786,0.003621329,2.45408114,0.005492773,0.008555399,0.035877943,0.003833528,0.008147445,0.00634081,0.020177492
"IGLC1",0.656050992,0.02696504,0.006351472,0.024107236,0.01687826,0.008705263,0.02995144,0.004896056,0.03892591,0.002784218
"IGLC2",1.79794339,0.09891827,0.02749717,0.07737714,0.04713738,0.01543834,0.14166349,0.0255258,0.15368014,0.01291258
"IGLC3",1.498210602,0.077082216,0.026129321,0.050251176,0.029805614,0.01104565,0.104176838,0.009108431,0.115368591,0.007716127
"DERL3",0.825503602,0.023342655,0.006481746,0.015099606,0.01895493,0.009195059,0.004563628,0.003486162,0.004633281,0.011827476
"XBP1",1.3661581,0.35614,0.2255066,0.4372701,0.4259452,0.3043322,0.3312871,0.2200381,0.3983254,0.2258179
"TYMP",0.4759501,1.4441357,0.3043146,1.389977,1.1843055,0.3900363,0.3810589,0.1340063,0.5387889,0.1045519
"GPM6B",0.2324532,0.1243871,0.4239232,0.1469018,0.1256579,0.8575281,0.4484109,2.9273199,0.3209641,2.0785097
"GPR34",0.07609675,0.59852481,0.04885864,0.78472722,1.3610194,0.04168078,0.04074474,0.04352098,0.03360215,0.02217485
"PCSK1N",0.07152591,0.02932358,0.17108819,0.04869123,0.0286967,0.34170479,0.07670699,0.50664943,0.11887104,1.31901111
"PIM2",0.595173553,0.083926304,0.014992216,0.02628265,0.02068024,0.011591527,0.101861112,0.008024433,0.254793169,0.019647009
"ITM2A",0.12735759,0.04037285,2.00865935,0.01856167,0.01446101,0.04922749,0.58896334,0.10347051,0.50674063,0.0419947
"PLP1",0.01889774,0.02356302,0.05693672,0.03406175,0.04113461,0.08123555,0.02347009,4.05015049,0.02191023,0.44033989
"TSC22D3",1.3536879,1.3047772,0.9703962,1.0594421,1.0839602,0.6765441,1.7446999,0.4158537,1.994964,0.2818385
"BGN",0.005486822,0.005566551,0.655166488,0.011602049,0.009439553,1.461284351,0.004124959,0.028188797,0.008205324,0.117311223
