"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"CLCA4-AS1",2,1,1,2,0,1,2,3,0,1,0,0
"CLCC1",1608,1209,1802,697,1806,1218,1864,994,1680,1635,1858,1955
"CLCF1",1192,1692,133,417,306,1397,299,566,364,454,889,452
"CLCN1",18,9,18,16,3,5,13,16,4,14,42,5
"CLCN2",926,630,1027,285,501,464,1189,449,559,880,804,544
"CLCN3",8549,5846,9021,4142,4489,3656,9506,5035,10803,9789,6130,6898
"CLCN3P1",41,26,27,13,34,17,27,13,39,8,28,34
"CLCN4",1029,981,1240,1928,850,849,1607,766,2371,2250,1175,845
"CLCN5",410,477,453,485,681,534,703,292,693,610,611,516
"CLCN6",2762,1370,2597,1719,1654,1315,2727,1698,2420,3846,2269,1178
"CLCN7",3845,3387,4163,2177,2873,2973,5221,2963,4208,5201,2821,3228
"CLCNKA",10,3,1,18,4,4,10,2,15,6,19,6
"CLCNKB",55,25,8,22,30,15,37,25,123,15,62,81
"CLCP1",0,0,0,0,0,0,1,0,0,1,0,0
"CLCP2",3,3,0,1,0,0,4,2,0,0,2,0
"CLDN1",281,224,400,157,32,279,186,341,180,161,451,70
"CLDN10",535,224,450,794,413,243,315,141,228,156,1049,1179
"CLDN10-AS1",0,0,0,0,0,1,0,1,1,0,0,0
"CLDN11",2474,3080,746,3184,368,376,252,682,2226,5522,1613,2265
"CLDN12",4289,2770,5690,1550,3455,2090,3795,3166,3440,1903,4326,2434
"CLDN14",4,8,2,5,0,28,6,5,4,1,5,1
"CLDN15",1286,639,435,282,517,505,859,332,378,387,682,313
"CLDN16",0,4,3,9,0,1,0,2,11,4,2,0
"CLDN17",0,0,0,1,0,0,0,0,0,0,0,0
"CLDN18",18,11,16,10,10,28,33,6,10,17,16,3
"CLDN19",24,4,1,2,1,1,4,2,0,3,1,1
"CLDN2",15,19,3,9,2,37,2,2,0,9,56,2
"CLDN20",4,5,26,12,5,4,29,11,12,10,18,1
"CLDN22",0,0,0,0,0,0,0,0,0,0,0,0
"CLDN23",58,278,42,118,56,170,186,99,82,85,321,167
"CLDN24",0,4,0,0,0,10,1,0,1,1,0,0
"CLDN25",0,0,0,1,0,0,0,0,0,0,0,0
"CLDN3",2,19,11,4,2,16,7,4,2,2,16,6
"CLDN34",3,1,3,3,0,6,3,5,1,2,1,0
"CLDN4",93,182,54,110,65,74,161,41,120,25,94,257
"CLDN5",740,2899,11275,2061,355,415,4780,6924,1893,2293,2312,2903
"CLDN6",11,11,4,9,1,4,9,1,2,1,8,5
"CLDN7",100,236,42,137,52,127,62,41,51,50,249,55
"CLDN7P1",1,0,0,0,0,0,0,1,1,0,0,0
"CLDN8",1,0,0,0,0,0,0,0,0,0,0,0
"CLDN9",13,16,7,41,14,8,14,16,9,9,14,66
"CLDND1",12942,7530,12320,7369,6497,5776,5873,7337,6287,12652,12716,3545
"CLDND2",55,39,120,53,89,21,28,74,10,21,140,17
"CLEC10A",34,146,32,57,32,446,6,110,17,57,215,162
"CLEC11A",278,815,1089,584,308,560,864,746,370,340,712,447
"CLEC12A",38,57,92,31,16,28,11,92,23,48,303,49
"CLEC12A-AS1",3,0,1,5,1,6,1,5,6,4,5,5
"CLEC12B",1,1,2,1,2,0,2,5,0,3,16,0
"CLEC14A",295,848,760,415,107,815,963,1110,503,944,457,613
"CLEC16A",1854,1641,2246,1552,1131,1429,2179,1403,2022,2422,1503,1501
"CLEC17A",180,48,145,2,9,8,60,133,32,328,27,62
"CLEC18A",117,90,8,5,15,82,25,15,13,52,5,36
"CLEC18B",471,668,466,245,78,440,902,444,972,283,427,118
"CLEC18C",117,21,10,47,7,13,14,14,16,50,33,15
"CLEC19A",0,0,0,0,0,0,0,1,0,1,0,0
"CLEC1A",196,131,249,104,19,172,125,172,60,252,142,64
"CLEC1B",5,3,2,2,0,2,1,2,0,0,12,3
"CLEC20A",0,0,0,0,0,0,0,0,1,0,0,0
"CLEC2A",1,0,0,0,0,0,1,0,0,0,0,0
"CLEC2B",4783,483,98,830,56,997,168,1017,320,1008,1817,228
"CLEC2D",415,217,274,379,262,383,624,268,128,269,464,111
"CLEC2L",4,40,253,306,41,20,38,83,81,2,54,1
"CLEC3A",1,0,0,1,0,0,1,1,1,0,0,21
