"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"TXNDC2",24,12,23,10,7,8,43,15,21,9,7,22
"TXNDC5",237,378,494,252,225,835,349,259,259,234,280,182
"TXNDC8",0,0,0,1,0,1,1,0,0,0,1,0
"TXNDC9",1217,883,1066,1040,631,1017,1090,1468,692,1010,2433,649
"TXNIP",12124,9586,14574,14386,7281,22136,6642,11280,10210,10554,9469,19285
"TXNL1",5306,3381,4827,3760,2791,3677,4313,4323,3434,3430,5816,2707
"TXNL1P1",0,0,0,0,0,0,0,0,0,0,0,0
"TXNL4A",3112,2442,3269,2185,1392,2516,2974,2677,1963,2931,2535,1707
"TXNL4AP1",0,0,0,0,0,0,0,0,0,0,0,0
"TXNL4B",909,776,1655,608,1144,538,859,921,613,934,1250,752
"TXNP1",2,4,1,8,3,2,3,1,1,1,8,2
"TXNP2",0,0,0,0,0,0,0,0,0,0,0,0
"TXNP3",0,0,0,1,1,0,0,0,1,0,0,0
"TXNP4",3,3,3,20,1,0,7,5,9,5,27,2
"TXNP5",4,4,0,20,3,2,6,3,2,0,16,5
"TXNP6",11,10,7,65,14,17,14,9,18,5,73,6
"TXNP7",0,0,0,0,0,0,0,0,0,0,0,0
"TXNRD1",5080,4666,3997,4928,2025,3428,4315,3886,4943,5471,6437,3308
"TXNRD2",1008,1229,1734,859,345,946,1437,1024,789,896,1408,504
"TXNRD3",398,499,329,447,305,453,490,231,449,415,915,313
"TYK2",3889,5764,7595,2294,4966,4533,9659,4676,3884,4090,3946,4777
"TYMP",2094,2991,1038,2274,395,4883,865,3128,1469,2711,5311,1325
"TYMS",1435,2826,3293,1575,1348,3019,3249,2005,774,1978,2259,2211
"TYMSOS",67,185,89,76,92,41,65,55,48,49,94,82
"TYMSP1",0,0,0,0,0,0,0,0,0,0,0,0
"TYMSP2",0,1,0,0,1,0,1,0,0,0,4,0
"TYR",0,0,0,0,0,0,1,0,0,0,0,0
"TYRL",0,0,0,0,0,0,0,0,0,0,0,0
"TYRO3",4489,2110,9583,2828,2300,2224,5470,4335,3835,7264,991,2642
"TYRO3P",5,5,19,11,5,2,10,8,4,17,3,4
"TYROBP",6475,6740,3108,3751,678,7272,1656,7477,2420,7965,11066,3489
"TYRP1",2,4,18,49,3,489,2,5,17,2,9,2
"TYSND1",573,504,549,582,353,622,659,310,386,597,725,306
"TYW1",1624,1113,1532,812,1322,1164,1929,928,1278,1348,1199,1195
"TYW1B",236,94,184,127,132,78,134,150,81,182,136,49
"TYW3",611,710,646,738,979,806,486,530,426,702,1531,882
"TYW5",700,452,765,350,463,319,686,533,353,408,783,210
"U2AF1",26,71,71,26,103,57,106,48,44,24,25,44
"U2AF1L4",1101,808,956,219,529,487,1469,726,356,417,596,263
"U2AF1L5",46,22,24,43,5,16,42,20,18,29,44,5
"U2AF2",7851,11040,15001,5202,9495,7763,15730,9147,8659,9552,8004,8564
"U2SURP",3673,3232,5040,3482,3244,2944,4801,3010,2714,2822,5225,1574
"UACA",1653,1956,1747,3495,596,1782,2953,1613,1673,2360,1989,1085
"UAP1",2640,2950,1582,2420,2622,6250,1628,2006,1949,1425,5299,2087
"UAP1-DT",1,2,0,0,1,1,1,0,0,0,0,0
"UAP1L1",1442,1546,1240,2011,2014,1354,3461,1254,1956,1534,2349,564
"UBA1",17455,17468,20999,23918,16575,20901,34960,13233,27173,26656,19419,13055
"UBA2",7066,7674,13345,3909,9779,6506,8700,8532,6320,4448,7709,5125
"UBA3",3597,2713,4789,2520,2419,2353,3401,3882,2552,2738,5794,2069
"UBA5",2201,1772,3118,2007,2549,1670,2770,2084,1771,1863,3370,1426
"UBA52",24510,25830,32473,12888,22010,24589,25104,29729,16987,19634,26332,19717
"UBA52P3",7,5,14,5,2,9,10,7,26,5,16,4
"UBA52P5",30,31,27,18,20,28,37,17,41,30,41,15
"UBA52P6",17,13,16,9,41,13,20,6,18,14,26,27
"UBA52P7",6,3,6,4,0,13,15,3,25,3,10,4
"UBA52P8",9,6,7,2,4,6,15,8,15,10,10,4
"UBA52P9",0,0,0,0,0,0,0,0,0,0,0,0
"UBA6",3174,2084,2901,1573,1556,2319,3749,2040,2551,2199,3365,1358
"UBA6-DT",920,531,802,338,415,333,533,731,434,715,692,530
"UBA7",2550,2309,1952,1883,1416,1894,2234,1537,974,2958,3572,950
"UBAC1",1898,2181,3136,2297,1840,1592,3274,2396,1720,1967,3692,1928
"UBAC2",3658,2905,4472,2337,2430,3266,3110,3107,2347,3153,3320,2494
"UBAC2-AS1",59,23,42,49,45,27,53,38,33,89,97,51
"UBALD1",1175,1231,1514,914,512,1052,1562,1033,982,953,984,593
"UBALD2",2485,3738,6304,2888,3361,2725,4451,3799,1886,2368,3564,3494
"UBAP1",2977,3486,4871,4254,3328,2876,4059,3554,3920,3040,5297,3683
"UBAP1L",567,370,420,345,209,202,841,371,211,214,451,54
"UBAP2",907,1508,1690,2057,1658,1427,2618,1109,1826,1526,1518,1153
"UBAP2L",7032,6793,9622,5745,7137,7730,10218,5598,7857,9554,7208,6289
"UBASH3A",9,32,4,10,5,53,4,17,7,40,11,11
"UBASH3B",1313,909,1123,902,790,849,1007,1086,610,1055,2494,703
"UBB",29814,20015,54022,19781,18731,20826,45207,33492,26035,38607,31352,23437
"UBBP1",68,37,99,74,31,99,170,63,218,89,91,42
"UBBP2",13,5,13,12,15,18,21,4,24,17,13,7
"UBBP3",3,2,0,2,1,0,1,0,2,2,4,1
"UBBP4",202,175,364,185,200,192,416,254,394,385,267,199
"UBBP5",2,0,2,1,2,3,7,1,15,2,2,0
"UBC",40477,33628,32646,25798,23883,54505,61330,29957,96735,38361,34606,33301
"UBD",34,80,21,80,28,14,32,276,134,52,46,51
"UBDP1",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2A",4780,4342,5671,3874,3216,4589,4708,4450,3290,3996,7987,3023
"UBE2B",3616,3098,3177,2051,2255,3327,2588,3887,2585,2143,4320,2169
"UBE2C",831,1505,2697,2158,1187,1926,2111,1300,293,1353,1774,813
"UBE2CP1",0,0,0,3,1,1,1,1,0,1,2,0
"UBE2CP2",3,6,8,2,8,4,6,2,5,3,9,3
"UBE2CP3",0,2,1,3,0,0,1,2,0,0,2,0
"UBE2CP4",1,0,0,1,1,2,1,2,0,0,1,1
"UBE2D1",820,616,750,808,448,919,712,849,651,918,1363,512
"UBE2D2",6830,5113,7491,3762,3662,5288,5508,6268,4340,6067,5953,4004
"UBE2D3",15136,12453,14915,8524,7337,14068,12321,14291,11027,12487,18047,8714
"UBE2D3-AS1",108,77,110,62,51,63,97,112,84,111,186,49
"UBE2D3P1",75,58,77,55,27,84,72,56,60,66,90,30
"UBE2D3P2",13,7,8,3,6,12,4,11,7,5,16,7
"UBE2D3P3",1,1,3,0,2,2,2,0,1,1,2,0
"UBE2D3P4",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2D4",2459,1605,3912,978,1586,1024,3572,2459,2750,2603,3476,1789
"UBE2DNL",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2E1",8721,6343,9022,3379,6716,4687,5782,7946,5132,6535,11380,4893
"UBE2E1-AS1",58,13,46,11,19,4,28,41,8,30,48,45
"UBE2E2",1963,1688,873,1432,443,1791,984,802,950,1744,1911,852
"UBE2E2-AS1",1,1,1,1,1,2,2,1,1,4,4,1
"UBE2E3",3821,3561,5046,2816,1568,3438,4718,4253,2787,4456,4697,2874
"UBE2E4P",34,25,31,38,21,31,29,36,27,44,54,24
"UBE2F",1777,1384,2007,1380,334,1565,1574,1801,1343,1819,2742,566
"UBE2F-SCLY",8,4,6,3,2,4,9,6,5,7,10,2
"UBE2FP1",14,13,13,27,21,15,13,12,7,13,33,11
"UBE2FP2",1,0,0,0,0,0,0,0,0,1,0,0
"UBE2FP3",38,11,39,15,11,6,38,25,25,29,30,17
"UBE2G1",3188,1977,3376,2078,1717,1969,2950,2634,2308,2880,2331,2208
"UBE2G2",4049,3629,5070,4406,4283,3500,7442,3559,3003,2852,4840,4043
"UBE2H",11677,11961,9504,8234,12073,12702,12226,9144,16853,15569,11742,13051
"UBE2HP1",0,2,3,4,3,5,2,2,5,1,5,0
"UBE2I",5560,5298,6843,4529,3781,4733,5642,5249,3772,4773,6158,3680
"UBE2J1",4509,3619,4760,4631,1517,5229,3865,4627,3317,4482,4643,2814
"UBE2J2",2861,2722,3340,1847,1963,2687,3999,2656,2338,2564,3306,2503
"UBE2K",4229,3619,4665,3935,4838,2537,4497,3509,3782,3586,4744,3505
"UBE2L2",0,0,0,1,0,0,0,1,2,0,1,1
"UBE2L3",5323,4603,6222,5249,2003,5296,5160,5089,4311,5915,7461,2624
"UBE2L4",6,5,4,6,14,5,9,5,4,4,17,1
"UBE2L5",12,10,10,9,6,8,13,8,11,13,28,2
"UBE2L6",6398,3226,5528,3622,3590,2379,4463,5915,5722,6478,10729,4533
"UBE2M",3579,4871,6153,2883,4337,4120,5213,5009,3881,2942,5363,3890
"UBE2MP1",54,69,86,52,61,61,71,63,65,59,122,36
"UBE2N",6773,4159,8688,4593,2745,3242,5938,6391,4063,4493,7944,3801
"UBE2NL",3,5,7,6,4,1,1,5,5,3,11,5
"UBE2NP1",4,3,5,2,0,1,5,4,1,2,10,1
"UBE2O",2283,1751,2622,3055,1822,2286,3249,1611,2509,3116,2031,1751
"UBE2Q1",3860,3428,3124,3569,2630,4352,3755,2945,2901,4194,4964,2417
"UBE2Q1-AS1",7,1,15,6,2,1,18,10,3,3,20,1
"UBE2Q2",3870,2691,4458,3131,1979,2708,3325,3411,2398,2050,5431,1509
"UBE2Q2L",5,4,3,4,1,2,2,4,1,2,13,0
"UBE2Q2P1",53,41,29,83,46,20,91,18,59,26,72,11
"UBE2Q2P10",0,1,1,0,0,0,0,0,1,0,1,0
"UBE2Q2P11",0,0,1,1,0,0,1,1,1,0,2,0
"UBE2Q2P12",0,0,0,2,0,0,0,0,0,1,0,0
"UBE2Q2P2",83,49,43,64,86,20,85,31,30,39,95,13
"UBE2Q2P4Y",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2Q2P5Y",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2Q2P6",2,4,0,1,3,2,3,3,4,2,1,1
"UBE2Q2P8",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2Q2P9",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2QL1",240,274,2063,1302,305,64,326,818,646,462,186,22
"UBE2R2",3862,4742,6036,6363,4560,4925,6315,4867,5462,4063,6181,4142
"UBE2R2-AS1",4,6,3,5,1,4,14,6,3,1,17,1
"UBE2S",1300,3263,4513,1671,1903,3016,3315,3519,1053,1590,2482,1463
"UBE2SP1",45,116,141,72,55,111,114,140,43,72,85,32
"UBE2SP2",22,38,47,33,22,34,39,42,22,27,43,9
"UBE2T",375,527,988,998,895,746,771,787,148,514,1468,265
"UBE2U",1,0,1,0,0,0,0,0,0,0,0,0
"UBE2V1",401,318,629,320,501,297,620,423,272,367,445,342
"UBE2V1P1",2,2,1,3,7,1,1,8,2,4,5,5
"UBE2V1P10",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P11",0,0,0,0,0,0,3,0,1,0,1,0
"UBE2V1P12",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P13",0,0,1,0,0,1,0,1,0,1,1,1
"UBE2V1P14",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P15",0,0,0,0,17,0,0,0,0,0,1,0
"UBE2V1P16",1,0,0,0,0,0,0,1,0,0,0,0
"UBE2V1P2",25,8,20,19,13,16,24,22,18,22,22,11
"UBE2V1P3",0,0,0,1,1,0,0,1,0,0,0,0
"UBE2V1P4",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P5",0,0,0,0,0,0,1,0,0,0,0,0
"UBE2V1P6",0,0,0,0,0,0,0,0,0,0,2,0
"UBE2V1P7",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P8",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P9",0,0,0,0,2,0,0,1,0,0,0,0
"UBE2V2",2884,2164,3472,3608,1493,2882,3106,2920,2497,2418,4136,1461
"UBE2V2P1",0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V2P2",0,0,0,0,1,0,0,0,0,0,0,0
"UBE2V2P3",2,2,1,5,4,2,4,1,4,1,0,0
"UBE2V2P4",0,0,0,0,1,0,0,0,0,0,1,0
"UBE2W",2045,1461,2432,1617,1242,1958,1584,1911,1401,1339,3012,932
"UBE2WP1",0,0,0,0,1,0,0,0,1,2,0,0
"UBE2Z",6565,4432,4633,7544,2299,4472,6016,4550,5716,5976,6445,2310
"UBE3A",4660,3953,5091,4934,4697,4013,5506,3408,3745,3080,5458,2960
"UBE3AP2",4,1,7,3,5,5,4,1,1,3,13,0
"UBE3B",2615,2391,3089,2271,1064,1966,3173,1952,2568,2756,2014,2073
"UBE3C",5222,4367,5360,4033,3447,5652,6295,3886,5005,4671,6460,3449
"UBE3D",179,162,227,242,125,155,221,176,147,140,243,113
"UBE4A",2568,1405,2935,1298,3370,1158,3090,1535,3222,2179,2771,1702
"UBE4B",2202,2247,3547,2274,1374,2643,3116,1922,2232,3411,2524,2423
"UBFD1",4180,3627,5147,3414,3598,3155,4747,3742,3486,4022,4537,2803
"UBFD1P1",0,0,1,0,0,0,0,0,0,0,0,0
"UBIAD1",1602,1185,2024,713,1218,1062,1941,1217,1332,1846,1664,1329
"UBL3",7323,4933,7683,3148,4188,3690,7052,5758,7418,7749,4563,3006
"UBL4A",2952,2410,3314,2449,2242,2674,2967,2347,2075,3013,2690,2091
"UBL4B",55,62,21,15,2,23,22,21,18,42,37,10
"UBL5",7011,6673,11416,4381,6479,4757,6812,9617,4542,4368,10693,6063
"UBL5P1",0,0,0,1,1,0,0,0,1,0,1,0
"UBL5P2",22,16,50,32,30,17,24,32,20,15,63,16
"UBL5P3",0,0,0,0,0,0,0,0,0,0,0,0
"UBL5P4",0,0,0,0,0,0,0,0,0,0,0,0
"UBL7",1924,2088,3035,2670,1741,1504,2203,2029,1620,2443,1985,2151
"UBL7-DT",84,90,186,136,93,48,108,95,50,83,154,67
"UBLCP1",1885,1597,2289,1734,1348,1371,2365,1930,1712,1908,2335,1615
"UBN1",2270,1920,2333,1994,1747,2217,2967,1565,1825,2664,1840,1421
"UBN2",1103,816,1326,976,1605,769,2129,846,1020,1263,1356,695
"UBOX5",883,644,1257,573,520,498,1277,909,934,1035,455,767
"UBOX5-AS1",24,11,21,12,10,18,41,23,10,18,15,4
"UBP1",3109,2703,5048,3528,2485,2960,4424,3220,2229,3256,4447,2074
"UBQLN1",4487,6808,8462,8610,6880,5846,7831,6008,8011,5127,9711,4744
"UBQLN1-AS1",76,108,123,199,88,55,83,120,83,89,210,77
"UBQLN1P1",0,0,0,0,0,0,0,0,0,0,0,0
"UBQLN2",3481,2525,2968,3670,2227,3344,3204,2537,3633,4404,3042,2286
"UBQLN3",0,0,2,0,0,0,0,0,0,0,1,0
"UBQLN4",3747,2447,5828,1632,2840,2303,5330,3248,3738,4623,2488,2340
"UBQLN4P1",45,19,86,17,29,27,62,42,46,46,41,25
"UBQLN4P2",0,0,0,0,0,0,0,0,0,0,0,0
"UBQLNL",20,16,16,18,29,18,42,11,28,24,53,21
"UBR1",1853,990,2104,1346,1723,1192,2068,1211,1791,1430,1020,996
"UBR2",2043,1650,2258,1787,1741,1897,2625,1511,1970,1662,1884,1107
"UBR3",2144,1319,1845,2081,1962,1595,2414,1260,2530,2113,2095,1280
"UBR4",5835,3676,6465,6258,5912,4971,8447,3829,8278,7083,5385,4984
"UBR5",4445,3522,5902,4024,3297,4115,6089,3210,5207,4609,4283,3064
"UBR5-DT",285,221,264,190,87,150,241,220,159,218,325,113
"UBR7",4811,3725,6596,2543,5821,2790,4982,3598,3690,3626,4702,4092
"UBTD1",931,1160,1199,1651,472,1633,986,1166,786,1214,1299,917
"UBTD2",2628,1540,2091,1250,1410,2351,3356,1837,2338,2560,2097,1635
"UBTF",4970,4412,6982,4155,4027,4062,7650,4549,4949,8069,4142,5581
"UBTFL1",0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL10",0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL11",0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL2",0,0,0,0,0,0,0,0,0,1,0,0
"UBTFL3",0,0,0,1,0,0,0,0,0,0,0,0
"UBTFL5",0,0,0,0,0,0,0,0,1,0,0,0
"UBTFL6",4,7,29,0,2,5,17,16,11,9,15,12
"UBTFL7",0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL8",0,0,0,0,0,0,1,0,0,0,0,1
"UBTFL9",1,0,0,0,0,0,0,0,0,0,1,0
"UBXN1",3254,2375,4214,2915,2513,2125,4077,3789,2823,3720,2845,2563
"UBXN10",54,42,27,300,26,24,274,48,94,67,88,65
"UBXN11",1413,1433,913,1106,952,773,2314,758,783,1034,2538,924
"UBXN2A",1766,1067,2107,950,1216,982,1834,1381,1183,1350,1670,1262
"UBXN2B",2966,2136,3466,1203,1193,1739,3383,2368,2721,3031,2912,1138
"UBXN4",7333,6017,8188,4631,6653,5957,8013,5775,6757,5432,9454,4762
"UBXN6",5551,5197,9097,3769,5197,4477,6991,7088,6704,5181,4336,7628
"UBXN7",1940,1449,2685,2252,2760,2241,2609,1461,2504,2351,2230,1642
"UBXN7-AS1",7,0,4,2,11,3,2,1,1,2,4,5
"UBXN8",956,557,1051,518,333,521,906,705,509,643,1167,378
"UCA1",0,0,2,0,0,0,0,2,0,3,1,0
"UCHL1",13422,7400,12353,13653,2415,4031,11973,9692,8876,9625,12369,3728
"UCHL1-DT",3,0,0,1,0,0,1,0,0,1,3,0
"UCHL3",256,320,309,387,88,385,162,279,147,307,548,141
"UCHL5",1399,870,1210,1417,2193,1208,1366,1001,1358,1255,2171,526
"UCK1",1468,2185,3391,2157,2442,1457,2890,2338,1928,2018,2720,2803
"UCK2",1387,1410,2018,1928,1646,2383,2180,1590,1068,1751,2315,1335
"UCKL1",1904,1537,3218,928,1754,1394,3766,1903,771,1266,1772,608
"UCKL1-AS1",55,13,73,18,38,25,102,22,22,30,27,14
"UCMA",0,0,0,0,0,1,1,0,0,0,0,0
"UCN",146,127,43,111,66,67,76,53,54,110,194,45
"UCN2",88,78,10,400,6,116,19,32,7,26,37,0
"UCN3",0,0,0,0,0,0,0,0,0,0,0,0
"UCP1",1,3,4,1,0,2,2,1,2,2,2,7
"UCP2",2347,3228,2921,2385,618,2885,1343,3835,1451,6890,4892,2100
"UCP3",55,98,95,71,90,39,188,80,40,81,196,37
"UEVLD",1656,1368,2281,1083,1380,1584,1893,1513,1937,1362,3028,1273
"UFC1",4894,3841,5243,3091,2274,3332,4485,5114,3321,5248,6783,3301
"UFD1",2612,2967,4164,2513,1210,3361,3337,2946,1600,2282,4956,1092
"UFL1",2111,1486,1805,2016,1318,1597,1951,1310,2289,1371,2099,1223
"UFL1-AS1",1,3,1,4,4,2,6,1,5,2,4,4
"UFM1",6728,4357,4487,3149,3666,4458,4167,4162,3831,3794,6276,2101
"UFM1P1",0,0,0,0,0,0,0,0,0,0,0,0
"UFM1P2",1,1,0,1,0,1,1,4,1,0,2,1
"UFM1P3",2,0,0,2,1,1,1,1,1,1,1,0
"UFSP1",134,93,152,61,33,44,96,83,43,88,185,40
"UFSP2",1875,1195,2054,862,916,1367,1786,1426,1455,1682,1660,1322
"UGCG",2674,3870,2626,2099,4640,3627,6284,3929,12162,1951,4452,2241
"UGDH",1546,1842,1306,1673,2265,2564,2139,1376,1644,1287,2078,1328
"UGDH-AS1",213,108,245,97,207,69,207,135,206,197,197,120
"UGGT1",3357,3345,4828,3971,3130,4717,4566,3050,4378,4410,3883,2718
"UGGT2",1092,1483,1020,1182,1275,1878,1263,762,884,665,1311,766
"UGP2",4759,5731,5372,4217,4666,7172,6157,4688,5910,4061,9883,7633
"UGT1A1",0,0,0,0,0,0,1,0,0,0,0,0
"UGT1A10",0,1,0,3,0,0,0,0,0,0,0,0
"UGT1A11P",1,0,0,0,0,0,0,0,0,0,0,0
"UGT1A12P",0,1,0,0,0,0,0,0,0,0,0,0
"UGT1A13P",0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A2P",0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A4",0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A6",0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A7",0,0,0,1,0,0,1,0,0,0,0,0
"UGT1A8",0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A9",0,0,0,0,0,1,0,0,0,0,0,0
"UGT2A1",0,0,0,1,1,0,0,0,0,0,0,0
"UGT2A2",0,0,0,0,0,0,0,0,0,0,0,0
"UGT2A3",0,0,0,0,1,0,0,0,0,0,0,0
"UGT2A3P7",0,0,0,0,0,0,0,0,0,0,0,0
"UGT2B10",0,0,0,0,0,0,0,0,0,0,0,0
"UGT2B11",0,0,0,0,0,0,0,0,0,0,0,0
"UGT2B15",0,0,0,0,0,0,0,0,0,0,1,0
"UGT2B17",0,0,0,0,0,0,0,0,0,0,11,0
"UGT2B24P",0,0,0,0,0,0,0,0,0,0,0,0
"UGT2B25P",0,0,0,0,0,0,0,0,0,0,0,0
"UGT2B26P",0,0,0,0,0,0,0,0,0,0,0,0
"UGT2B27P",0,0,0,1,0,0,0,0,0,0,0,0
"UGT2B28",0,0,0,0,0,0,0,0,0,0,0,0
"UGT2B29P",0,0,1,0,0,0,0,0,0,0,0,0
"UGT2B4",0,0,0,0,0,0,0,0,0,0,1,0
"UGT2B7",0,0,1,1,1,0,1,1,1,0,2,0
"UGT3A1",0,1,0,0,0,1,0,0,1,0,0,0
"UGT3A2",3,9,2,9,0,6,0,0,2,4,2,1
"UGT8",743,823,231,1343,157,55,559,143,738,3342,735,235
"UHMK1",4184,3460,3502,3549,4665,3609,3899,3066,4700,3379,6271,3090
"UHRF1",911,1723,3674,727,2659,1153,4844,1444,1529,1620,746,1736
"UHRF1BP1",1433,857,1635,907,1090,1006,1588,993,1323,1749,1083,802
"UHRF1BP1L",1488,1034,1566,1313,1005,1293,1236,1106,1914,1268,1634,1062
"UHRF1BP1L-DT",1,1,5,1,5,1,2,2,3,1,1,2
"UHRF2",1432,2516,1597,1611,3973,2155,2408,1172,1351,1017,2182,2216
"UHRF2P1",2,2,1,1,6,3,3,0,1,3,2,1
"UICLM",3,5,1,1,1,23,11,2,5,7,5,0
"UIMC1",1314,1089,1349,1039,1198,993,1520,987,913,924,1548,838
"ULBP1",482,191,158,88,5,169,64,101,79,159,171,26
"ULBP2",310,219,144,337,37,228,64,134,65,164,291,102
"ULBP3",68,70,77,73,28,60,86,32,65,22,88,139
"ULK1",2514,2153,2474,2855,979,2803,3046,1881,2869,2271,1890,1695
"ULK2",1692,1592,1547,1524,1096,958,2444,979,2739,2100,1466,1233
"ULK3",2865,2250,3156,1724,2719,1139,4567,2034,1042,1779,2702,1218
"ULK4",206,196,343,377,209,145,281,218,228,165,576,163
"ULK4P1",0,0,0,3,1,2,1,0,0,0,0,0
"ULK4P2",16,7,1,4,4,6,4,3,4,4,0,5
"ULK4P3",5,3,3,0,2,11,2,0,6,3,6,1
"UMAD1",1728,1007,1158,756,1512,966,987,1057,1387,1345,1750,981
"UMLILO",0,0,0,0,0,0,0,0,0,0,0,0
"UMOD",0,1,0,0,0,0,0,0,0,0,0,0
"UMODL1",7,9,9,15,5,3,25,17,28,21,16,21
"UMODL1-AS1",1,4,6,4,5,1,0,2,9,0,3,1
"UMPS",1675,1501,2605,1346,1510,1334,2062,1628,1084,1694,2142,1217
"UNC119",1619,1032,1855,970,901,1029,1554,1569,1007,1412,2089,869
"UNC119B",4124,2978,5571,2092,2947,2734,5574,3317,4137,3965,4363,4124
"UNC13A",244,1099,1797,1972,396,75,4739,1093,2313,348,574,520
"UNC13B",1685,3451,3728,2048,2766,2323,3608,2004,3448,2023,5744,4910
"UNC13C",14,7,39,583,87,4,20,22,182,6,70,11
"UNC13D",883,873,480,558,222,934,562,661,502,1295,1071,409
"UNC45A",3330,3745,4902,3928,2210,3786,5805,3235,4449,3052,3178,4202
"UNC45B",2,10,3,0,0,4,6,8,2,9,2,1
"UNC50",2653,1881,2768,1403,1654,1396,2337,2108,1563,1924,3391,1297
"UNC5A",69,278,329,1711,535,106,165,239,649,148,119,503
"UNC5B",2287,4163,4001,10114,1842,8287,3490,2759,5344,5543,2173,2015
"UNC5B-AS1",9,15,3,25,2,14,6,5,14,3,9,1
"UNC5C",1573,477,371,2473,42,876,373,94,466,1146,1071,41
"UNC5C-AS1",164,51,29,148,8,74,41,8,28,34,183,3
"UNC5CL",151,88,45,35,80,43,150,44,54,41,55,28
"UNC5D",116,227,100,434,406,340,94,171,155,82,52,38
"UNC79",193,395,345,473,128,51,761,400,667,235,720,210
"UNC80",740,379,931,811,459,62,1642,411,800,467,593,340
"UNC93A",0,0,0,2,0,0,0,0,0,0,0,0
"UNC93B1",1964,1829,1876,1178,1113,1877,1570,1725,1742,2453,1896,1914
"UNC93B2",3,3,3,0,0,3,14,2,13,1,1,0
"UNC93B3",10,4,7,5,5,2,6,7,8,3,14,2
"UNC93B4",1,0,1,2,2,0,1,1,1,1,2,0
"UNC93B5",1,0,0,0,0,1,0,0,1,3,1,0
"UNC93B6",2,3,1,4,0,0,4,4,3,2,4,1
"UNC93B7",1,1,0,2,0,2,3,0,0,1,1,0
"UNC93B8",0,0,1,0,0,1,2,0,2,2,0,0
"UNCX",1,3,10,1,0,0,4,0,0,22,1,1
"UNG",1940,2030,3676,1351,2069,1677,3001,2130,2206,1740,2437,3167
"UNGP1",4,2,1,1,1,0,6,1,3,2,5,1
"UNGP3",3,2,4,6,3,5,18,7,11,8,3,8
"UNK",2213,1992,3176,1404,1759,1916,3149,1915,1764,2785,1888,1519
"UNKL",632,592,850,535,521,526,873,546,783,949,578,548
"UOX",17,15,18,5,14,5,14,16,6,8,31,8
"UPB1",12,11,6,17,3,2,10,6,7,6,11,6
"UPF1",3981,5395,7333,3293,4173,4528,8347,4339,7244,6016,3580,7375
"UPF2",889,632,1027,1666,821,1224,1809,745,1327,1355,1261,923
"UPF3A",1896,2013,2063,1303,2277,1256,3842,1479,1290,1588,2046,1585
"UPF3AP1",7,12,12,7,12,8,14,8,13,11,12,5
"UPF3AP2",15,12,4,10,20,7,16,5,9,9,16,10
"UPF3AP3",2,8,9,8,10,1,7,5,2,10,12,6
"UPF3B",657,441,820,1262,755,768,1024,728,455,1115,1091,853
"UPK1A",5,7,3,3,4,3,14,2,7,4,3,6
"UPK1A-AS1",2,0,3,1,2,0,0,3,2,1,1,0
"UPK1B",0,2,1,1,1,1,0,1,1,0,1,4
"UPK2",17,16,14,12,12,13,33,7,22,12,19,14
"UPK3A",69,17,2,1,5,8,2,20,6,35,23,17
"UPK3B",19,13,4,15,9,14,8,9,2,6,13,2
"UPK3BL1",61,132,12,4,35,77,53,6,45,50,2,41
"UPK3BP1",0,0,0,0,0,1,2,0,1,0,0,0
"UPP1",7305,6517,1503,3610,840,3562,1549,2744,1462,3265,5890,1680
"UPP2",10,22,7,94,9,11,23,8,44,23,47,42
"UPP2-IT1",1,0,0,1,0,0,1,0,0,0,0,0
"UPRT",797,823,822,756,1277,755,948,864,1317,830,1352,892
