"","TCGA-26-5133","TCGA-HT-7902","TCGA-VM-A8CF","TCGA-14-1823","TCGA-DU-6393","TCGA-HT-7601","TCGA-14-0789","TCGA-28-2499","TCGA-02-2483","TCGA-TQ-A7RW","TCGA-DU-A6S8","TCGA-32-1970","TCGA-28-5204","TCGA-HT-7480","TCGA-DU-7010"
"RNA5SP144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP145",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP146",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"RNA5SP147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP151",0,5,4,0,0,0,0,0,1,3,0,0,0,1,0
"RNA5SP152",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"RNA5SP153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP154",0,0,2,0,0,3,0,0,0,1,0,1,0,2,0
"RNA5SP155",4,0,0,0,0,4,1,0,1,0,0,0,0,1,0
"RNA5SP156",0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
"RNA5SP157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP159",0,3,0,0,0,0,0,2,0,1,0,0,0,0,1
"RNA5SP160",0,1,0,0,0,1,0,0,1,0,0,3,0,0,0
"RNA5SP161",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"RNA5SP162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP169",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"RNA5SP170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP179",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNA5SP18",1,4,0,1,2,0,2,4,0,1,0,12,2,1,3
"RNA5SP180",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"RNA5SP181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RNA5SP191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP195",0,1,3,0,0,1,2,0,0,0,0,2,1,0,1
"RNA5SP196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP198",0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
"RNA5SP199",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP201",0,2,0,0,4,0,1,1,2,2,3,0,0,1,1
"RNA5SP202",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNA5SP203",1,4,0,0,8,1,2,2,1,3,3,4,1,7,2
"RNA5SP204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP207",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP209",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNA5SP21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP211",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP213",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP215",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNA5SP216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP217",1,0,0,0,12,0,2,1,0,1,3,1,2,3,3
"RNA5SP218",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"RNA5SP219",6,10,1,7,6,8,6,0,0,10,7,2,0,8,6
"RNA5SP22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP224",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP225",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RNA5SP226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP228",0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
"RNA5SP229",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RNA5SP23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP230",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RNA5SP231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP237",0,3,0,0,0,0,0,0,0,0,0,1,1,0,0
"RNA5SP238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP240",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"RNA5SP241",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"RNA5SP242",0,1,1,2,0,0,0,1,3,3,1,1,0,2,1
"RNA5SP243",2,0,0,0,1,0,1,0,0,1,0,0,0,1,0
"RNA5SP244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP245",0,1,0,4,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP246",1,3,2,2,0,1,0,0,0,0,1,3,1,5,1
"RNA5SP247",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP248",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNA5SP249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP25",0,1,2,1,0,2,0,0,1,0,1,2,0,0,1
"RNA5SP250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP251",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP255",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP258",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"RNA5SP259",2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP260",0,3,1,0,0,1,0,1,0,3,0,0,0,3,0
"RNA5SP261",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP262",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RNA5SP263",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP267",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"RNA5SP268",0,1,0,2,0,2,1,0,0,3,1,1,0,5,0
"RNA5SP269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP27",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP270",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNA5SP271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP273",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP274",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNA5SP275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP276",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP277",2,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"RNA5SP278",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNA5SP279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP28",0,2,0,0,0,2,0,0,1,0,0,0,0,0,0
"RNA5SP280",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RNA5SP281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP282",0,0,1,0,0,0,0,0,0,2,0,0,0,0,1
"RNA5SP283",5,2,2,1,5,4,11,1,6,3,0,1,2,4,4
"RNA5SP284",2,0,0,0,2,2,1,1,1,1,1,0,0,1,1
"RNA5SP285",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNA5SP286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP288",0,3,0,1,1,1,0,0,0,1,0,0,0,0,0
"RNA5SP289",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNA5SP290",0,0,0,1,1,2,0,1,0,3,2,0,0,2,2
"RNA5SP291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP294",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"RNA5SP295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP296",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"RNA5SP297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP298",0,7,0,0,0,0,1,0,0,1,1,2,0,2,0
"RNA5SP299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP300",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RNA5SP301",2,3,0,3,0,1,1,0,0,1,0,1,0,0,0
"RNA5SP302",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"RNA5SP303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP304",0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
"RNA5SP305",0,1,0,0,2,0,0,0,0,0,0,0,0,2,0
"RNA5SP306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP307",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNA5SP308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP309",1,0,0,1,4,0,0,0,0,2,2,1,0,0,0
"RNA5SP31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP310",0,5,0,0,0,0,0,0,1,0,0,0,0,2,0
"RNA5SP311",0,13,0,0,13,1,3,2,0,6,7,0,1,12,0
"RNA5SP312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP317",4,7,0,1,9,2,0,0,0,5,2,1,1,17,5
"RNA5SP318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP319",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNA5SP320",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"RNA5SP321",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"RNA5SP322",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNA5SP323",2,1,0,0,2,3,0,0,0,0,0,0,0,0,0
"RNA5SP324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP325",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RNA5SP326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP33",1,2,0,0,0,0,0,0,0,0,1,2,0,4,0
"RNA5SP330",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP332",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNA5SP333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP335",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RNA5SP336",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"RNA5SP337",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNA5SP338",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"RNA5SP339",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"RNA5SP34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP341",0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
"RNA5SP342",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNA5SP343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP344",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNA5SP345",0,0,0,0,1,0,0,0,2,1,2,0,0,2,0
"RNA5SP346",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP35",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"RNA5SP350",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP354",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNA5SP355",1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"RNA5SP356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP357",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP358",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RNA5SP359",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"RNA5SP36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP360",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNA5SP361",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"RNA5SP362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP364",0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
"RNA5SP365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNA5SP366",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP37",0,11,0,0,5,3,1,1,0,1,3,2,0,11,0
"RNA5SP370",0,1,0,1,0,0,0,0,1,3,0,1,0,0,0
"RNA5SP371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP372",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"RNA5SP373",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RNA5SP374",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RNA5SP375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP377",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RNA5SP378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNA5SP379",2,0,0,0,0,1,0,0,1,1,2,0,0,0,5
"RNA5SP38",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP382",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNA5SP383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP385",0,0,0,0,1,0,0,0,2,0,0,1,0,2,0
"RNA5SP386",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"RNA5SP387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP39",0,4,0,0,7,7,1,0,1,1,7,0,0,1,1
"RNA5SP390",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP393",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RNA5SP394",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP395",1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
"RNA5SP396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP397",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP399",0,1,1,0,2,0,0,0,0,1,4,0,0,2,0
"RNA5SP40",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP404",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP41",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"RNA5SP410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP42",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP425",0,1,1,0,0,0,0,0,0,1,0,2,0,0,0
"RNA5SP426",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP427",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RNA5SP428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP429",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP43",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"RNA5SP430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP431",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP433",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP434",0,3,0,0,0,0,0,0,1,2,0,0,0,2,0
"RNA5SP435",0,2,0,0,2,0,0,0,0,1,1,2,0,4,1
"RNA5SP436",2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"RNA5SP437",1,1,0,1,1,1,1,1,0,1,0,0,0,2,0
"RNA5SP438",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNA5SP439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP44",0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
"RNA5SP440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP441",0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"RNA5SP442",2,3,2,1,8,0,7,0,6,5,3,0,0,4,1
"RNA5SP443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNA5SP445",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RNA5SP446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP447",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP449",0,2,1,0,3,1,0,1,0,0,0,0,2,3,1
"RNA5SP45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP450",0,5,0,0,1,0,0,0,0,0,0,0,0,3,0
"RNA5SP451",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RNA5SP452",2,1,0,0,0,1,2,0,1,0,0,2,0,1,0
"RNA5SP453",0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
"RNA5SP454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP460",0,0,0,0,0,1,0,0,1,0,1,0,0,1,3
"RNA5SP461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP462",1,0,1,0,10,2,0,1,0,0,1,0,0,10,0
"RNA5SP463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNA5SP465",2,1,0,0,2,0,0,1,1,0,1,1,0,1,0
"RNA5SP466",1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
"RNA5SP467",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"RNA5SP468",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RNA5SP469",0,0,0,0,3,2,0,0,0,0,2,0,1,2,0
"RNA5SP47",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNA5SP470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP473",1,0,0,0,0,2,2,0,0,0,0,0,1,2,2
"RNA5SP474",1,6,6,0,4,3,1,5,2,6,0,4,1,8,7
"RNA5SP475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
